Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Adam Danzig,M,SBD,Raw,22.5,20-23,19-23,MR-O,106.45,120,182.5,147.5,220.0,550.0,1,329.89,327.11,312.4,67.47,Yes,USA,IL,USAPL,IPF,2020-02-29,USA,WI,,PF Opener,Yes
Grant Garner #2,M,SBD,Raw,25.5,24-34,24-39,MR-O,82.1,83,250.0,152.5,255.0,657.5,1,446.62,441.75,425.15,91.52,Yes,USA,IL,USAPL,IPF,2016-06-11,USA,WI,,Badger Open,Yes
Frances Marks,F,SBD,Raw,25.5,24-34,24-39,FR-O,69.5,72,120.0,70.0,150.0,340.0,2,345.22,339.93,299.69,70.16,Yes,USA,IL,USAPL,IPF,2016-06-11,USA,WI,,Badger Open,Yes
Caitlin Hanson,F,SBD,Raw,26.5,24-34,24-39,FR-O,83.7,84,102.5,55.0,115.0,272.5,4,251.17,243.44,212.88,51.53,Yes,USA,IL,USAPL,IPF,2016-06-11,USA,WI,,Badger Open,Yes
Kaden Gammelgaard,M,SBD,Raw,17.0,16-17,14-18,MR-O,97.5,,250.0,160.0,282.5,692.5,2,431.03,425.87,406.97,88.55,Yes,USA,IL,USAPL,,2022-04-02,USA,WI,,PF Series 1,Yes
Lance Groat,M,SBD,Raw,52.0,50-54,50-59,MR-O,108.1,,217.5,152.5,237.5,607.5,3,362.2,359.47,343.41,74.0,Yes,USA,IL,USAPL,,2022-04-02,USA,WI,,PF Series 1,Yes
Alonso Rodriguez,M,SBD,Raw,23.0,20-23,19-23,MR-O,74.3,,207.5,137.5,237.5,582.5,4,420.42,417.8,403.86,85.34,Yes,USA,IL,USAPL,,2022-04-02,USA,WI,,PF Series 1,Yes
Matthew Swanson,M,SBD,Raw,38.0,35-39,24-39,MR-O,101.9,105,250.0,155.0,297.5,702.5,1,428.94,424.41,405.27,87.96,Yes,USA,IL,USAPL,IPF,2017-08-26,USA,WI,,Wolf Open,Yes
Jose Velgara-Rivera Jr,M,SBD,Raw,18.5,18-19,19-23,MR-O,80.65,82.5,205.0,110.0,210.0,525.0,1,360.3,356.6,343.48,73.74,Yes,USA,IL,USAPL,,2022-06-18,USA,OH,,Bad Dog Barbell Classic,Yes
Justin Varkey,M,SBD,Raw,22.5,20-23,19-23,MR-O,88.6,90,157.5,112.5,227.5,497.5,7,324.26,320.18,307.08,66.65,Yes,USA,IL,USAPL,,2022-06-25,USA,TX,,Summer Power Fest,Yes
Jacob Weaver,M,SBD,Raw,23.5,24-34,24-39,MR-O,90.7,100,190.0,122.5,182.5,495.0,4,318.83,314.77,301.58,65.56,Yes,USA,IL,USAPL,,2022-06-25,USA,TX,,Summer Power Fest,Yes
Eddie Cupp,M,SBD,Raw,34.5,24-34,24-39,MR-O,76.9,83,130.0,95.0,135.0,360.0,6,254.24,252.17,243.4,51.81,Yes,USA,IL,USAPL,IPF,2016-03-12,USA,MI,,Michigan Annual No Frills Qualifier,Yes
Heidi Tinney,F,SBD,Raw,43.5,40-44,40-49,FR-O,58.8,63,67.5,42.5,80.0,190.0,1,213.35,215.18,190.18,43.56,Yes,USA,IL,USAPL,IPF,2016-03-12,USA,MI,,Michigan Annual No Frills Qualifier,Yes
Sarah Cupp,F,SBD,Raw,33.5,24-34,24-39,FR-O,69.1,72,135.0,77.5,145.0,357.5,1,364.17,358.87,316.43,74.0,Yes,USA,IL,USAPL,IPF,2016-03-12,USA,MI,,Michigan Annual No Frills Qualifier,Yes
Anthony Sladkov,M,SBD,Raw,0.0,,,MR-O,65.7,66,175.0,122.5,212.5,510.0,11,400.95,401.96,390.67,79.69,Yes,USA,IL,USAPL,IPF,2015-10-15,USA,PA,Scranton,Raw Nationals,Yes
Christopher Thacker,M,SBD,Raw,37.5,35-39,24-39,MR-O,104.9,105,270.0,175.0,275.0,720.0,14,434.4,430.38,410.97,88.93,Yes,USA,IL,USAPL,IPF,2015-10-15,USA,PA,Scranton,Raw Nationals,Yes
Jessica Evans #2,F,SBD,Raw,27.5,24-34,24-39,FR-O,71.2,72,152.5,65.0,152.5,370.0,20,370.64,363.85,320.59,75.36,Yes,USA,IL,USAPL,IPF,2015-10-15,USA,PA,Scranton,Raw Nationals,Yes
Lauren Jackson,F,SBD,Raw,23.5,24-34,24-39,FR-O,71.7,72,112.5,65.0,150.0,327.5,35,326.81,320.54,282.38,66.46,Yes,USA,IL,USAPL,IPF,2015-10-15,USA,PA,Scranton,Raw Nationals,Yes
Katrina Muraglia,F,SBD,Raw,25.5,24-34,24-39,FR-O,82.8,84,147.5,72.5,170.0,390.0,12,361.34,350.33,306.58,74.07,Yes,USA,IL,USAPL,IPF,2015-10-15,USA,PA,Scranton,Raw Nationals,Yes
LaTavia Bowens,F,SBD,Raw,34.5,24-34,24-39,FR-O,90.4,84+,162.5,80.0,185.0,427.5,14,380.38,368.71,320.35,78.61,Yes,USA,IL,USAPL,IPF,2015-10-15,USA,PA,Scranton,Raw Nationals,Yes
Ruite Gu,M,SBD,Raw,23.5,24-34,24-39,MR-O,83.6,90,187.5,140.0,240.0,567.5,3,381.57,377.2,362.72,78.27,Yes,USA,IL,USAPL,,2023-04-22,USA,GA,,Georgia Spring Open,Yes
Emma Rosenthal,F,SBD,Raw,30.5,24-34,24-39,FR-O,49.7,52,97.5,42.5,100.0,240.0,1,302.02,309.72,275.1,63.08,Yes,USA,IL,USAPL,IPF,2019-02-24,USA,IL,,Illinois Women's Raw Open,Yes
Jean Ablang,F,SBD,Raw,26.5,24-34,24-39,FR-O,51.5,52,80.0,40.0,105.0,225.0,2,276.11,282.59,250.59,57.29,Yes,USA,IL,USAPL,IPF,2019-02-24,USA,IL,,Illinois Women's Raw Open,Yes
Lisa Miller #1,F,SBD,Raw,25.0,24-34,24-39,FR-O,48.2,52,77.5,45.0,97.5,220.0,3,283.04,290.48,258.48,59.51,Yes,USA,IL,USAPL,IPF,2019-02-24,USA,IL,,Illinois Women's Raw Open,Yes
Ariana Tello,F,SBD,Raw,26.5,24-34,24-39,FR-O,53.4,57,130.0,80.0,150.0,360.0,1,430.84,439.63,389.34,88.89,Yes,USA,IL,USAPL,IPF,2019-02-24,USA,IL,,Illinois Women's Raw Open,Yes
Cassandra Misiak,F,SBD,Raw,25.5,24-34,24-39,FR-O,56.0,57,132.5,70.0,142.5,345.0,2,399.9,405.93,359.06,82.02,Yes,USA,IL,USAPL,IPF,2019-02-24,USA,IL,,Illinois Women's Raw Open,Yes
Taylor Black #1,F,SBD,Raw,35.5,35-39,24-39,FR-O,53.1,57,70.0,47.5,102.5,220.0,4,264.31,269.84,239.02,54.58,Yes,USA,IL,USAPL,IPF,2019-02-24,USA,IL,,Illinois Women's Raw Open,Yes
