Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Jay Brown,M,SBD,Raw,39.5,35-39,40-49,MR-O,104.5,105,205,132.5,230,567.5,3,342.92,339.68,324.36,70.22,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Irfaan Khalid,M,SBD,Raw,24,24-34,24-39,MR-O,97.5,105,165,90,162.5,417.5,4,259.86,256.75,245.36,53.38,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Sarfraz Sherali,M,SBD,Raw,21.5,20-23,19-23,MR-O,119.1,120,170,117.5,212.5,500,2,287.88,287.97,275.93,58.31,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Suzanne DeFily,F,SBD,Wraps,28.5,24-34,24-39,FW-O,59.2,60,112.5,62.5,115,290,1,324.23,326.7,288.71,66.17,Yes,USA,IL,USAPL,,11/4/23,USA,WI,,Gainsgiving Open,Yes
Alonso Rodriguez,M,SBD,Raw,23.5,24-34,24-39,MR-O,77.6,82.5,222.5,135,242.5,600,3,421.37,417.76,403.06,85.95,Yes,USA,IL,USAPL,,11/4/23,USA,WI,,Gainsgiving Open,Yes
Amanda Berggren,F,SBD,Raw,32.5,24-34,24-39,FR-O,75.31,76,160,92.5,175,427.5,8,415.47,405.35,356.51,84.65,Yes,USA,IL,USAPL,IPF,6/14/21,USA,FL,Daytona Beach,Raw Nationals,Yes
Sterling Walker,M,SBD,Raw,29.5,24-34,24-39,MR-O,58.46,59,185,117.5,227.5,530,5,457.12,463.03,452.82,88.13,Yes,USA,IL,USAPL,IPF,6/14/21,USA,FL,Daytona Beach,Raw Nationals,Yes
Angelo Fortino,M,SBD,Raw,27.5,24-34,24-39,MR-O,82.22,83,297.5,165,345.5,808,3,548.39,542.39,521.97,112.38,Yes,USA,IL,USAPL,IPF,6/14/21,USA,FL,Daytona Beach,Raw Nationals,Yes
Aidan Roeder,M,SBD,Raw,19.5,20-23,19-23,MR-O,82.98,83,275,160,302.5,737.5,11,497.94,492.35,473.61,102.1,Yes,USA,IL,USAPL,IPF,6/14/21,USA,FL,Daytona Beach,Raw Nationals,Yes
Cameron Smith #2,M,SBD,Raw,32,24-34,24-39,MR-O,92.46,93,295,225,332.5,852.5,3,543.93,537.02,514.1,111.84,Yes,USA,IL,USAPL,IPF,6/14/21,USA,FL,Daytona Beach,Raw Nationals,Yes
Darion Owens,M,SBD,Raw,25.5,24-34,24-39,MR-O,87.6,90,167.5,110,242.5,520,1,340.93,336.69,323.07,70.06,Yes,USA,IL,USAPL,,12/9/23,USA,TX,,Kilo Showdown II,Yes
Ryan LaVizzo,M,SBD,Raw,31,24-34,24-39,MR-O,119.4,120,260,152.5,365,777.5,1,447.27,447.53,428.83,90.58,Yes,USA,IL,USAPL,IPF,5/29/21,USA,OH,,Ohio Open & State Championship,Yes
Cristobal Gonzalez,M,SBD,Raw,22,20-23,19-23,MR-O,109.3,110,230,137.5,235,602.5,2,357.7,355.27,339.49,73.02,Yes,USA,IL,USAPL,,11/11/23,USA,MI,,Strong Enough,Yes
Annie Weeden,F,SBD,Raw,25,24-34,24-39,FR-O,67.8,69,125,77.5,155,357.5,2,368.14,363.72,320.82,74.8,Yes,USA,IL,USAPL,,11/20/21,USA,WI,,Gainsgiving Open,Yes
Yvonne Arceo,F,SBD,Raw,28.5,24-34,24-39,FR-O,75.4,76,107.5,52.5,117.5,277.5,2,269.52,262.93,231.24,54.92,Yes,USA,IL,USAPL,,11/20/21,USA,WI,,Gainsgiving Open,Yes
